id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2010-01-01,3395.35166667
NE,NORDESTE,2010-01-01,6660.99083333
S,SUL,2010-01-01,5893.17045027
SE,SUDESTE,2010-01-01,25055.56928905
N,NORTE,2010-01-02,3417.35621856
NE,NORDESTE,2010-01-02,6963.19041667
S,SUL,2010-01-02,6838.06662007
SE,SUDESTE,2010-01-02,27410.07788259
N,NORTE,2010-01-03,3392.91025860
NE,NORDESTE,2010-01-03,6786.11291667
S,SUL,2010-01-03,7005.38288731
SE,SUDESTE,2010-01-03,27476.17428820
N,NORTE,2010-01-04,3715.60685972
NE,NORDESTE,2010-01-04,7763.04625000
S,SUL,2010-01-04,9036.49137308
SE,SUDESTE,2010-01-04,33650.18831025
N,NORTE,2010-01-05,3759.32458333
NE,NORDESTE,2010-01-05,8061.96958333
S,SUL,2010-01-05,9519.26381084
SE,SUDESTE,2010-01-05,35220.20544047
N,NORTE,2010-01-06,3820.68424212
NE,NORDESTE,2010-01-06,8102.21458333
S,SUL,2010-01-06,9594.09740538
SE,SUDESTE,2010-01-06,35131.34136595
N,NORTE,2010-01-07,3823.92973218
NE,NORDESTE,2010-01-07,8264.22541667
S,SUL,2010-01-07,9391.50327737
SE,SUDESTE,2010-01-07,35342.48363885
N,NORTE,2010-01-08,3808.39625000
NE,NORDESTE,2010-01-08,8292.20541667
S,SUL,2010-01-08,9361.94542592
SE,SUDESTE,2010-01-08,35293.91580979
N,NORTE,2010-01-09,3619.41208333
NE,NORDESTE,2010-01-09,7766.02458333
S,SUL,2010-01-09,8369.81000024
SE,SUDESTE,2010-01-09,32460.81196980
N,NORTE,2010-01-10,3487.57000000
NE,NORDESTE,2010-01-10,7059.68875000
S,SUL,2010-01-10,7102.39979516
SE,SUDESTE,2010-01-10,29524.09235946
N,NORTE,2010-01-11,3784.30166667
NE,NORDESTE,2010-01-11,8005.72541667
S,SUL,2010-01-11,9487.71460361
SE,SUDESTE,2010-01-11,35272.66015382
N,NORTE,2010-01-12,3833.70541667
NE,NORDESTE,2010-01-12,8249.93041667
S,SUL,2010-01-12,9793.22857769
SE,SUDESTE,2010-01-12,36278.32384259
N,NORTE,2010-01-13,3857.50416667
NE,NORDESTE,2010-01-13,8372.49708333
S,SUL,2010-01-13,9541.58112192
SE,SUDESTE,2010-01-13,36375.42666667
N,NORTE,2010-01-14,3837.40625000
NE,NORDESTE,2010-01-14,8384.37083333
S,SUL,2010-01-14,9500.90409453
SE,SUDESTE,2010-01-14,36313.92185764
N,NORTE,2010-01-15,3856.40000000
NE,NORDESTE,2010-01-15,8382.77500000
S,SUL,2010-01-15,9535.14198535
SE,SUDESTE,2010-01-15,35334.87782407
N,NORTE,2010-01-16,3725.76750000
NE,NORDESTE,2010-01-16,8001.14375000
S,SUL,2010-01-16,8352.22787413
SE,SUDESTE,2010-01-16,32195.62590278
N,NORTE,2010-01-17,3554.48708333
NE,NORDESTE,2010-01-17,7226.19083333
S,SUL,2010-01-17,7098.44126387
SE,SUDESTE,2010-01-17,29295.34465437
N,NORTE,2010-01-18,3879.08666667
NE,NORDESTE,2010-01-18,8127.48875000
S,SUL,2010-01-18,9687.74782609
SE,SUDESTE,2010-01-18,35634.95710069
N,NORTE,2010-01-19,3884.79291667
NE,NORDESTE,2010-01-19,8328.11458333
S,SUL,2010-01-19,9968.05883329
SE,SUDESTE,2010-01-19,36334.42949035
N,NORTE,2010-01-20,3871.93666667
NE,NORDESTE,2010-01-20,8274.71708333
S,SUL,2010-01-20,9700.88420642
SE,SUDESTE,2010-01-20,35971.29942743
N,NORTE,2010-01-21,3830.54736728
NE,NORDESTE,2010-01-21,8407.97833333
S,SUL,2010-01-21,9423.10838818
SE,SUDESTE,2010-01-21,36449.97996302
N,NORTE,2010-01-22,3856.39625000
NE,NORDESTE,2010-01-22,8493.63875000
S,SUL,2010-01-22,9551.01843430
SE,SUDESTE,2010-01-22,35594.53309697
N,NORTE,2010-01-23,3685.03708333
NE,NORDESTE,2010-01-23,8014.51791667
S,SUL,2010-01-23,8391.92381136
SE,SUDESTE,2010-01-23,32441.22922594
N,NORTE,2010-01-24,3483.22583333
NE,NORDESTE,2010-01-24,7351.04916667
S,SUL,2010-01-24,7186.76697301
SE,SUDESTE,2010-01-24,29127.86378938
N,NORTE,2010-01-25,3728.48400923
NE,NORDESTE,2010-01-25,8343.09791667
S,SUL,2010-01-25,9616.09024514
SE,SUDESTE,2010-01-25,34002.57615159
N,NORTE,2010-01-26,3742.09955001
NE,NORDESTE,2010-01-26,8599.77791667
S,SUL,2010-01-26,9977.64214658
SE,SUDESTE,2010-01-26,35349.00813565
N,NORTE,2010-01-27,3754.80583333
NE,NORDESTE,2010-01-27,8557.62958333
S,SUL,2010-01-27,10038.30038097
SE,SUDESTE,2010-01-27,36019.25648768
N,NORTE,2010-01-28,3793.18633441
NE,NORDESTE,2010-01-28,8491.25083333
S,SUL,2010-01-28,9995.73461283
SE,SUDESTE,2010-01-28,36333.66364197
N,NORTE,2010-01-29,3749.14343561
NE,NORDESTE,2010-01-29,8431.91500000
S,SUL,2010-01-29,10077.91661451
SE,SUDESTE,2010-01-29,36349.46394385
N,NORTE,2010-01-30,3659.78698745
NE,NORDESTE,2010-01-30,7996.69375000
S,SUL,2010-01-30,8911.10556679
SE,SUDESTE,2010-01-30,33479.04894407
N,NORTE,2010-01-31,3513.63916667
NE,NORDESTE,2010-01-31,7360.36500000
S,SUL,2010-01-31,7726.97709175
SE,SUDESTE,2010-01-31,30097.62075372
N,NORTE,2010-02-01,3661.36583333
NE,NORDESTE,2010-02-01,8344.22666667
S,SUL,2010-02-01,10252.01291667
SE,SUDESTE,2010-02-01,36053.86333333
N,NORTE,2010-02-02,3690.68500000
NE,NORDESTE,2010-02-02,8550.41041667
S,SUL,2010-02-02,10555.68583333
SE,SUDESTE,2010-02-02,37182.66416667
N,NORTE,2010-02-03,3915.09791667
NE,NORDESTE,2010-02-03,8571.94041667
S,SUL,2010-02-03,11081.89000000
SE,SUDESTE,2010-02-03,37912.36083333
N,NORTE,2010-02-04,3994.64083333
NE,NORDESTE,2010-02-04,8582.46958333
S,SUL,2010-02-04,11170.80875000
SE,SUDESTE,2010-02-04,37983.85166667
N,NORTE,2010-02-05,4004.15791667
NE,NORDESTE,2010-02-05,8604.52541667
S,SUL,2010-02-05,11089.31187500
SE,SUDESTE,2010-02-05,38049.75791667
N,NORTE,2010-02-06,3880.30208333
NE,NORDESTE,2010-02-06,8297.99166667
S,SUL,2010-02-06,9618.45291667
SE,SUDESTE,2010-02-06,34835.84541667
N,NORTE,2010-02-07,3604.10916667
NE,NORDESTE,2010-02-07,7615.54208333
S,SUL,2010-02-07,8330.27500000
SE,SUDESTE,2010-02-07,31057.45791667
N,NORTE,2010-02-08,3919.02833333
NE,NORDESTE,2010-02-08,8498.03333333
S,SUL,2010-02-08,10411.37416667
SE,SUDESTE,2010-02-08,37110.92541667
N,NORTE,2010-02-09,3832.00666667
NE,NORDESTE,2010-02-09,8657.15291667
S,SUL,2010-02-09,10066.39750000
SE,SUDESTE,2010-02-09,37770.74083333
N,NORTE,2010-02-10,3781.15541667
NE,NORDESTE,2010-02-10,8405.09833333
S,SUL,2010-02-10,10242.62791667
SE,SUDESTE,2010-02-10,37077.84833333
N,NORTE,2010-02-11,3833.49041667
NE,NORDESTE,2010-02-11,8423.30500000
S,SUL,2010-02-11,10649.80791667
SE,SUDESTE,2010-02-11,36791.03000000
N,NORTE,2010-02-12,3776.73416667
NE,NORDESTE,2010-02-12,8366.16333333
S,SUL,2010-02-12,10573.74625000
SE,SUDESTE,2010-02-12,36927.71791667
N,NORTE,2010-02-13,3653.88583333
NE,NORDESTE,2010-02-13,7885.16375000
S,SUL,2010-02-13,9121.76958333
SE,SUDESTE,2010-02-13,33290.12375000
N,NORTE,2010-02-14,3478.77833333
NE,NORDESTE,2010-02-14,7210.08958333
S,SUL,2010-02-14,7434.45416667
SE,SUDESTE,2010-02-14,29777.37625000
N,NORTE,2010-02-15,3536.76041667
NE,NORDESTE,2010-02-15,7290.65541667
S,SUL,2010-02-15,8697.14583333
SE,SUDESTE,2010-02-15,31989.98875000
N,NORTE,2010-02-16,3545.49458333
NE,NORDESTE,2010-02-16,7369.47375000
S,SUL,2010-02-16,8481.34416667
SE,SUDESTE,2010-02-16,31969.44083333
N,NORTE,2010-02-17,3733.38458333
NE,NORDESTE,2010-02-17,8080.19791667
S,SUL,2010-02-17,9387.27583333
SE,SUDESTE,2010-02-17,35865.24375000
N,NORTE,2010-02-18,3902.22125000
NE,NORDESTE,2010-02-18,8663.69375000
S,SUL,2010-02-18,9759.24750000
SE,SUDESTE,2010-02-18,36891.23041667
N,NORTE,2010-02-19,3943.23458333
NE,NORDESTE,2010-02-19,8739.95500000
S,SUL,2010-02-19,10078.98208333
SE,SUDESTE,2010-02-19,36242.20333333
N,NORTE,2010-02-20,3825.05333333
NE,NORDESTE,2010-02-20,8253.43208333
S,SUL,2010-02-20,9168.74083333
SE,SUDESTE,2010-02-20,33496.99625000
N,NORTE,2010-02-21,3680.19125000
NE,NORDESTE,2010-02-21,7606.38833333
S,SUL,2010-02-21,7881.38583333
SE,SUDESTE,2010-02-21,30630.27916667
N,NORTE,2010-02-22,3871.54375000
NE,NORDESTE,2010-02-22,8693.08458333
S,SUL,2010-02-22,10297.49708333
SE,SUDESTE,2010-02-22,37455.88416667
N,NORTE,2010-02-23,3941.19708333
NE,NORDESTE,2010-02-23,8907.54833333
S,SUL,2010-02-23,10407.22958333
SE,SUDESTE,2010-02-23,38617.82125000
N,NORTE,2010-02-24,3999.17750000
NE,NORDESTE,2010-02-24,8875.66666667
S,SUL,2010-02-24,9986.27541667
SE,SUDESTE,2010-02-24,38843.28125000
N,NORTE,2010-02-25,3979.31416667
NE,NORDESTE,2010-02-25,8773.70291667
S,SUL,2010-02-25,9531.48708333
SE,SUDESTE,2010-02-25,37408.01708333
N,NORTE,2010-02-26,3991.92125000
NE,NORDESTE,2010-02-26,8760.37500000
S,SUL,2010-02-26,9511.22541667
SE,SUDESTE,2010-02-26,35545.33541667
N,NORTE,2010-02-27,3857.95708333
NE,NORDESTE,2010-02-27,8384.18125000
S,SUL,2010-02-27,8515.80958333
SE,SUDESTE,2010-02-27,32343.66875000
N,NORTE,2010-02-28,3756.59208333
NE,NORDESTE,2010-02-28,7689.22708333
S,SUL,2010-02-28,7235.60791667
SE,SUDESTE,2010-02-28,29104.76625000
N,NORTE,2010-03-01,3931.70625000
NE,NORDESTE,2010-03-01,8717.75250000
S,SUL,2010-03-01,9539.10041667
SE,SUDESTE,2010-03-01,33358.55875000
N,NORTE,2010-03-02,3958.78416667
NE,NORDESTE,2010-03-02,8953.92583333
S,SUL,2010-03-02,10033.55791667
SE,SUDESTE,2010-03-02,33527.44083333
N,NORTE,2010-03-03,3982.51250000
NE,NORDESTE,2010-03-03,8994.91166667
S,SUL,2010-03-03,10134.54625000
SE,SUDESTE,2010-03-03,34073.41166667
N,NORTE,2010-03-04,3982.17875000
NE,NORDESTE,2010-03-04,8984.47583333
S,SUL,2010-03-04,10283.23875000
SE,SUDESTE,2010-03-04,34719.41750000
N,NORTE,2010-03-05,3992.87958333
NE,NORDESTE,2010-03-05,8948.85541667
S,SUL,2010-03-05,10284.30333333
SE,SUDESTE,2010-03-05,35052.78791667
N,NORTE,2010-03-06,3898.63416667
NE,NORDESTE,2010-03-06,8302.38333333
S,SUL,2010-03-06,8631.75583333
SE,SUDESTE,2010-03-06,32078.13833333
N,NORTE,2010-03-07,3674.19083333
NE,NORDESTE,2010-03-07,7589.49666667
S,SUL,2010-03-07,7301.12125000
SE,SUDESTE,2010-03-07,28476.87625000
N,NORTE,2010-03-08,3971.93458333
NE,NORDESTE,2010-03-08,8737.50416667
S,SUL,2010-03-08,9662.28750000
SE,SUDESTE,2010-03-08,34697.07916667
N,NORTE,2010-03-09,4040.91666667
NE,NORDESTE,2010-03-09,8960.51458333
S,SUL,2010-03-09,10077.95541667
SE,SUDESTE,2010-03-09,36210.06750000
N,NORTE,2010-03-10,3987.95875000
NE,NORDESTE,2010-03-10,8983.35708333
S,SUL,2010-03-10,10314.69250000
SE,SUDESTE,2010-03-10,37227.34875000
N,NORTE,2010-03-11,3984.56208333
NE,NORDESTE,2010-03-11,9012.55750000
S,SUL,2010-03-11,10514.88333333
SE,SUDESTE,2010-03-11,37432.94666667
N,NORTE,2010-03-12,3995.53000000
NE,NORDESTE,2010-03-12,8889.09416667
S,SUL,2010-03-12,10435.26083333
SE,SUDESTE,2010-03-12,37780.93500000
N,NORTE,2010-03-13,3848.00875000
NE,NORDESTE,2010-03-13,8462.71500000
S,SUL,2010-03-13,9013.93750000
SE,SUDESTE,2010-03-13,34753.81791667
N,NORTE,2010-03-14,3703.26583333
NE,NORDESTE,2010-03-14,7824.29000000
S,SUL,2010-03-14,7269.95750000
SE,SUDESTE,2010-03-14,31153.47541667
N,NORTE,2010-03-15,3954.30916667
NE,NORDESTE,2010-03-15,8866.63625000
S,SUL,2010-03-15,9424.22375000
SE,SUDESTE,2010-03-15,36070.68791667
N,NORTE,2010-03-16,4013.61375000
NE,NORDESTE,2010-03-16,8954.03458333
S,SUL,2010-03-16,9801.25958333
SE,SUDESTE,2010-03-16,36432.21791667
N,NORTE,2010-03-17,3968.53541667
NE,NORDESTE,2010-03-17,9006.57041667
S,SUL,2010-03-17,9909.09208333
SE,SUDESTE,2010-03-17,35754.39875000
N,NORTE,2010-03-18,3972.65958333
NE,NORDESTE,2010-03-18,9074.83666667
S,SUL,2010-03-18,10178.77166667
SE,SUDESTE,2010-03-18,35686.41083333
N,NORTE,2010-03-19,3967.18458333
NE,NORDESTE,2010-03-19,8756.31833333
S,SUL,2010-03-19,10368.28666667
SE,SUDESTE,2010-03-19,36157.25958333
N,NORTE,2010-03-20,3851.85916667
NE,NORDESTE,2010-03-20,8268.59708333
S,SUL,2010-03-20,8932.57375000
SE,SUDESTE,2010-03-20,33511.83166667
N,NORTE,2010-03-21,3681.60291667
NE,NORDESTE,2010-03-21,7550.44416667
S,SUL,2010-03-21,7442.20708333
SE,SUDESTE,2010-03-21,30028.39791667
N,NORTE,2010-03-22,3900.43291667
NE,NORDESTE,2010-03-22,8481.09750000
S,SUL,2010-03-22,9435.77208333
SE,SUDESTE,2010-03-22,35727.54875000
N,NORTE,2010-03-23,3862.20666667
NE,NORDESTE,2010-03-23,8541.98416667
S,SUL,2010-03-23,9788.33958333
SE,SUDESTE,2010-03-23,36663.69958333
N,NORTE,2010-03-24,3887.09250000
NE,NORDESTE,2010-03-24,8500.46625000
S,SUL,2010-03-24,9937.66125000
SE,SUDESTE,2010-03-24,37206.52541667
N,NORTE,2010-03-25,3898.05041667
NE,NORDESTE,2010-03-25,8457.60333333
S,SUL,2010-03-25,9759.05541667
SE,SUDESTE,2010-03-25,37182.08333333
N,NORTE,2010-03-26,3913.57958333
NE,NORDESTE,2010-03-26,8469.22291667
S,SUL,2010-03-26,9804.59250000
SE,SUDESTE,2010-03-26,36929.89250000
N,NORTE,2010-03-27,3855.52958333
NE,NORDESTE,2010-03-27,8053.28500000
S,SUL,2010-03-27,8591.70500000
SE,SUDESTE,2010-03-27,34027.64833333
N,NORTE,2010-03-28,3657.47333333
NE,NORDESTE,2010-03-28,7501.03958333
S,SUL,2010-03-28,7142.69375000
SE,SUDESTE,2010-03-28,30698.40791667
N,NORTE,2010-03-29,3906.81083333
NE,NORDESTE,2010-03-29,8473.76458333
S,SUL,2010-03-29,9353.97083333
SE,SUDESTE,2010-03-29,36366.48125000
N,NORTE,2010-03-30,3943.54708333
NE,NORDESTE,2010-03-30,8809.63208333
S,SUL,2010-03-30,9783.27416667
SE,SUDESTE,2010-03-30,36604.53416667
N,NORTE,2010-03-31,3944.81750000
NE,NORDESTE,2010-03-31,8827.10875000
S,SUL,2010-03-31,9812.32708333
SE,SUDESTE,2010-03-31,36031.63458333
N,NORTE,2010-04-01,3815.03000000
NE,NORDESTE,2010-04-01,8483.81550000
S,SUL,2010-04-01,9769.00458333
SE,SUDESTE,2010-04-01,34776.98375000
N,NORTE,2010-04-02,3525.61541667
NE,NORDESTE,2010-04-02,7277.49237500
S,SUL,2010-04-02,7136.50083333
SE,SUDESTE,2010-04-02,28801.81125000
N,NORTE,2010-04-03,3671.52250000
NE,NORDESTE,2010-04-03,7671.16145833
S,SUL,2010-04-03,7489.79625000
SE,SUDESTE,2010-04-03,30439.08500000
N,NORTE,2010-04-04,3576.43791667
NE,NORDESTE,2010-04-04,7301.97408333
S,SUL,2010-04-04,6519.56583333
SE,SUDESTE,2010-04-04,28831.21833333
N,NORTE,2010-04-05,3873.88750000
NE,NORDESTE,2010-04-05,8555.83350000
S,SUL,2010-04-05,8869.27958333
SE,SUDESTE,2010-04-05,34093.62000000
N,NORTE,2010-04-06,3942.31791667
NE,NORDESTE,2010-04-06,8906.91658333
S,SUL,2010-04-06,9082.78916667
SE,SUDESTE,2010-04-06,33154.93625000
N,NORTE,2010-04-07,3941.58666667
NE,NORDESTE,2010-04-07,8826.81520833
S,SUL,2010-04-07,9122.92083333
SE,SUDESTE,2010-04-07,32301.96041667
N,NORTE,2010-04-08,3895.33000000
NE,NORDESTE,2010-04-08,8492.11054167
S,SUL,2010-04-08,9113.00208333
SE,SUDESTE,2010-04-08,32230.31875000
N,NORTE,2010-04-09,3871.03291667
NE,NORDESTE,2010-04-09,8229.29254167
S,SUL,2010-04-09,9154.76583333
SE,SUDESTE,2010-04-09,32496.91541667
N,NORTE,2010-04-10,3817.71791667
NE,NORDESTE,2010-04-10,7679.53916667
S,SUL,2010-04-10,8076.57708333
SE,SUDESTE,2010-04-10,30309.11375000
N,NORTE,2010-04-11,3574.35083333
NE,NORDESTE,2010-04-11,7108.83462500
S,SUL,2010-04-11,6717.63791667
SE,SUDESTE,2010-04-11,27161.29166667
N,NORTE,2010-04-12,3807.34208333
NE,NORDESTE,2010-04-12,7987.72729167
S,SUL,2010-04-12,8998.33583333
SE,SUDESTE,2010-04-12,32216.38250000
N,NORTE,2010-04-13,3845.30916667
NE,NORDESTE,2010-04-13,8316.61916667
S,SUL,2010-04-13,9474.96416667
SE,SUDESTE,2010-04-13,33202.67666667
N,NORTE,2010-04-14,3934.89875000
NE,NORDESTE,2010-04-14,8354.59400000
S,SUL,2010-04-14,9635.58791667
SE,SUDESTE,2010-04-14,33792.89250000
N,NORTE,2010-04-15,3907.82416667
NE,NORDESTE,2010-04-15,8395.68850000
S,SUL,2010-04-15,9622.55541667
SE,SUDESTE,2010-04-15,34257.67916667
N,NORTE,2010-04-16,3914.12583333
NE,NORDESTE,2010-04-16,8444.78920833
S,SUL,2010-04-16,9606.62250000
SE,SUDESTE,2010-04-16,34598.49750000
N,NORTE,2010-04-17,3798.79291667
NE,NORDESTE,2010-04-17,7935.23575000
S,SUL,2010-04-17,8473.28333333
SE,SUDESTE,2010-04-17,32203.82250000
N,NORTE,2010-04-18,3574.01625000
NE,NORDESTE,2010-04-18,7277.33979167
S,SUL,2010-04-18,7208.37916667
SE,SUDESTE,2010-04-18,28648.50416667
N,NORTE,2010-04-19,3880.84333333
NE,NORDESTE,2010-04-19,8254.47670833
S,SUL,2010-04-19,9599.35041667
SE,SUDESTE,2010-04-19,34336.42708333
N,NORTE,2010-04-20,3906.16541667
NE,NORDESTE,2010-04-20,8433.48616667
S,SUL,2010-04-20,9652.19458333
SE,SUDESTE,2010-04-20,35374.22500000
N,NORTE,2010-04-21,3766.31875000
NE,NORDESTE,2010-04-21,7732.04650000
S,SUL,2010-04-21,8436.98333333
SE,SUDESTE,2010-04-21,32038.55708333
N,NORTE,2010-04-22,3940.28541667
NE,NORDESTE,2010-04-22,8476.72441667
S,SUL,2010-04-22,9269.65500000
SE,SUDESTE,2010-04-22,35981.69583333
N,NORTE,2010-04-23,3927.30541667
NE,NORDESTE,2010-04-23,8509.05920833
S,SUL,2010-04-23,8972.01000000
SE,SUDESTE,2010-04-23,35983.12208333
N,NORTE,2010-04-24,3838.75875000
NE,NORDESTE,2010-04-24,8042.51150000
S,SUL,2010-04-24,7752.06625000
SE,SUDESTE,2010-04-24,32882.31750000
N,NORTE,2010-04-25,3720.31500000
NE,NORDESTE,2010-04-25,7427.14916667
S,SUL,2010-04-25,6546.31916667
SE,SUDESTE,2010-04-25,29555.61375000
N,NORTE,2010-04-26,4000.10416667
NE,NORDESTE,2010-04-26,8424.26466667
S,SUL,2010-04-26,8770.27708333
SE,SUDESTE,2010-04-26,35584.08916667
N,NORTE,2010-04-27,3994.16125000
NE,NORDESTE,2010-04-27,8619.69120833
S,SUL,2010-04-27,8882.57208333
SE,SUDESTE,2010-04-27,36384.31750000
N,NORTE,2010-04-28,3985.21208333
NE,NORDESTE,2010-04-28,8740.86854167
S,SUL,2010-04-28,8969.94291667
SE,SUDESTE,2010-04-28,35608.65041667
N,NORTE,2010-04-29,3977.17875000
NE,NORDESTE,2010-04-29,8681.25300000
S,SUL,2010-04-29,8898.57583333
SE,SUDESTE,2010-04-29,34775.25791667
N,NORTE,2010-04-30,3962.60166667
NE,NORDESTE,2010-04-30,8650.51083333
S,SUL,2010-04-30,8834.68000000
SE,SUDESTE,2010-04-30,33900.55291667
N,NORTE,2010-05-01,3735.39833333
NE,NORDESTE,2010-05-01,7480.85734563
S,SUL,2010-05-01,6612.69416667
SE,SUDESTE,2010-05-01,28594.19166667
N,NORTE,2010-05-02,3680.72625000
